uid,school_type,name,campus,headquarters,undergraduate,operator,prefecture,city,municipality_code,postal_code,address,phone_number,fax_number,kcode,department,name_hira,graduate_course,major_course,master,doctor,related_college,related_undergraduate,created_date,updated_date,salesforce_id
11,大学,警察大学校,,,本部（代表）,国立,東京都,府中市,132063,183-0003,東京都府中市朝日町３－１２－１,042-354-3550,042-330-1308,col-K27000081-0000,,けいさつだいがっこう,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:06,0015h00000oIUHM
12,大学,自治大学校,,,本部（代表）,国立,東京都,立川市,132021,190-0014,東京都立川市緑町１０－１,042-540-4500,042-540-4510,col-K27000070-0000,,じちだいがっこう,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:06,0015h00000oIUHN
13,大学,航空保安大学校,,,本部（代表）,国立,大阪府,泉佐野市,272132,598-0047,大阪府泉佐野市りんくう往来南３－１１,072-458-3010,072-458-3026,col-K27000058-0000,,こうくうほあんだいがっこう,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:06,0015h00000oIUHO
14,大学,税務大学校,,,本部（代表）,国立,埼玉県,和光市,112291,351-0104,埼玉県和光市南２－３－７,048-460-5000,048-467-1951,col-K27000047-0000,,ぜいむだいがっこう,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:07,0015h00000oIUHP
15,大学,気象大学校,,,本部（代表）,国立,千葉県,柏市,122173,277-0852,千葉県柏市旭町７－４－８１,04-7144-7185,04-7143-5184,col-K27000025-0000,,きしょうだいがっこう,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:07,0015h00000oIUHQ
16,大学,国土交通大学校,,,本部（代表）,国立,東京都,小平市,132110,187-0044,東京都小平市喜平町２－２－１,042-321-1541,042-321-1572,col-K27000106-0000,,こくどこうつうだいがっこう,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:07,0015h00000oIUHR
17,大学,航空大学校,,,本部（代表）,独立行政法人,宮崎県,宮崎市,452017,880-0912,宮崎県宮崎市大字赤江字飛江田６５２－２,0985-51-1211,0985-51-1229,col-K27000195-0000,,こうくうだいがっこう,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:07,0015h00000oIUHS
18,短期大学,岩手県立大学宮古短期大学部,,,,公立,岩手県,宮古市,032026,027-0039,岩手県宮古市河南１－５－１,0193-64-2230,0193-64-2234,jcl-K21000511-00,,いわてけんりつだいがくみやこたんきだいがくぶ,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:07,0015h00000oIUHT
19,短期大学,常磐会短期大学,,,,私立,大阪府,大阪市平野区,271268,547-0031,大阪府大阪市平野区平野南４－６－７,06-6709-3170,06-6709-2201,jcl-K21001822-00,,ときわかいたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:07,0015h00000oIUHU
20,短期大学,四條畷学園短期大学,清風学舎,,,私立,大阪府,大東市,272183,574-0001,大阪府大東市学園町６－４５,072-879-7231,072-876-4515,jcl-K21001408-00,,しじょうなわてがくえんたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:07,0015h00000oIUHV
21,短期大学,四天王寺大学短期大学部,,,,私立,大阪府,羽曳野市,272221,583-8501,大阪府羽曳野市学園前３－２－１,072-956-3181,072-956-6011,jcl-K21001394-00,,してんのうじだいがくたんきだいがくぶ,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:28,0015h00000oIUHW
22,短期大学,堺女子短期大学,,,,私立,大阪府,堺市堺区,271411,590-0012,大阪府堺市堺区浅香山町１－２－２０,072-227-8814,072-227-4187,jcl-K21001121-00,,さかいじょしたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:28,0015h00000oIUHX
23,短期大学,近畿大学短期大学部,,,,私立,大阪府,東大阪市,272272,577-8502,大阪府東大阪市小若江３－４－１,06-4307-3045,06-6728-7546,jcl-K21000740-00,,きんきだいがくたんきだいがくぶ,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:28,0015h00000oIUHY
24,短期大学,関西女子短期大学,,,,私立,大阪府,柏原市,272213,582-0026,大阪府柏原市旭ヶ丘３－１１－１,072-977-6561,072-978-0377,jcl-K21000474-00,,かんさいじょしたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:28,0015h00000oIUHZ
25,短期大学,関西外国語大学短期大学部,中宮キャンパス,,,私立,大阪府,枚方市,272108,573-1001,大阪府枚方市中宮東之町１６－１,072-805-2801,072-805-2871,jcl-K21000463-00,,かんさいがいこくごだいがくたんきだいがくぶ,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:28,0015h00000oIUHa
26,短期大学,プール学院短期大学,,,,私立,大阪府,堺市南区,271454,590-0114,大阪府堺市南区槇塚台４－５－１,072-292-7201,072-293-5525,jcl-K21000050-00,,ぷーるがくいんたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:29,0015h00000oIUHb
27,短期大学,龍谷大学短期大学部,,,,私立,京都府,京都市伏見区,261092,612-8867,京都府京都市伏見区深草塚本町６７,075-642-1111,075-645-8867,jcl-K21004032-00,,りゅうこくだいがくたんきだいがくぶ,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:29,0015h00000oIUHc
28,短期大学,池坊短期大学,,,,私立,京都府,京都市下京区,261068,600-8491,京都府京都市下京区四条室町鶏鉾町,075-351-8581,075-351-8589,jcl-K21002753-00,,いけのぼうたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:29,0015h00000oIUHd
29,短期大学,京都文教短期大学,,,,私立,京都府,宇治市,262048,611-0041,京都府宇治市槙島町千足８０,0774-25-2405,0774-25-2455,jcl-K21000681-00,,きょうとぶんきょうたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:29,0015h00000oIUHe
30,短期大学,京都西山短期大学,,,,私立,京都府,長岡京市,262099,617-0811,京都府長岡京市粟生西条２６,075-951-0023,075-954-1637,jcl-K21000669-00,,きょうとにしやまたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:29,0015h00000oIUHf
31,短期大学,嵯峨美術短期大学,本部キャンパス,,,私立,京都府,京都市右京区,261084,616-8362,京都府京都市右京区嵯峨五島町１,075-864-7858,075-881-7133,jcl-K21000636-00,,さがびじゅつたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:29,0015h00000oIUHg
32,短期大学,京都光華女子大学短期大学部,,,,私立,京都府,京都市右京区,261084,615-0882,京都府京都市右京区西京極葛野町３８,075-325-5221,075-312-5594,jcl-K21000625-00,,きょうとこうかじょしだいがくたんきだいがくぶ,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:29,0015h00000oIUHh
33,短期大学,京都経済短期大学,,,,私立,京都府,京都市西京区,261114,610-1195,京都府京都市西京区大枝東長町３－１,075-331-3159,075-331-3330,jcl-K21000614-00,,きょうとけいざいたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:29,0015h00000oIUHi
34,短期大学,大阪キリスト教短期大学,,,,私立,大阪府,大阪市阿倍野区,271195,545-0042,大阪府大阪市阿倍野区丸山通１－３－６１,06-6652-2091,06-6652-2068,jcl-K21002487-00,,おおさかきりすときょうたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:29,0015h00000oIUHj
35,短期大学,京都外国語短期大学,,,,私立,京都府,京都市右京区,261084,615-8558,京都府京都市右京区西院笠目町６,075-322-6012,075-322-6247,jcl-K21000603-00,,きょうとがいこくごたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:30,0015h00000oIUHk
36,短期大学,大阪音楽大学短期大学部,,,,私立,大阪府,豊中市,272035,561-8555,大阪府豊中市庄内幸町１－１－８,06-6334-2131,06-6336-0479,jcl-K21002498-00,,おおさかおんがくだいがくたんきだいがくぶ,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:30,0015h00000oIUHl
37,短期大学,大阪芸術大学短期大学部,大阪学舎,,,私立,大阪府,大阪市東住吉区,271217,546-0023,大阪府大阪市東住吉区矢田２－１４－１９,06-6691-7341,06-6691-8891,jcl-K21002535-00,,おおさかげいじゅつだいがくたんきだいがくぶ,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:30,0015h00000oIUHm
38,短期大学,甲子園短期大学,,,,私立,兵庫県,西宮市,282049,663-8107,兵庫県西宮市瓦林町４－２５,0798-65-3300,0798-67-9101,jcl-K21000968-00,,こうしえんたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:30,0015h00000oIUHn
39,短期大学,近畿大学豊岡短期大学,,,,私立,兵庫県,豊岡市,282090,668-8580,兵庫県豊岡市戸牧１６０,0796-22-6361,0796-22-6366,jcl-K21000751-00,,きんきだいがくとよおかたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:30,0015h00000oIUHo
40,短期大学,園田学園女子大学短期大学部,,,,私立,兵庫県,尼崎市,282022,661-8520,兵庫県尼崎市南塚口町７－２９－１,06-6429-1201,06-6422-8523,jcl-K21000326-00,,そのだがくえんじょしだいがくたんきだいがくぶ,,,,,,,2021-09-17 05:24:52,2022-05-12 13:38:39,0015h00000oIUHp
41,短期大学,藍野大学短期大学部,茨木キャンパス,,,私立,大阪府,茨木市,272116,567-0018,大阪府茨木市太田３－９－２５,072-626-2361,072-621-1901,jcl-K21004010-00,,あいのだいがくたんきだいがくぶ,,,,,,,2021-09-17 05:24:52,2022-05-12 13:38:39,0015h00000oIUHq
42,短期大学,平安女学院大学短期大学部,高槻キャンパス,,,私立,大阪府,高槻市,272078,569-1092,大阪府高槻市南平台５－８１－１,072-693-2311,072-696-4919,jcl-K21003732-00,,へいあんじょがくいんだいがくたんきだいがくぶ,,,,,,,2021-09-17 05:24:52,2022-05-12 13:38:39,0015h00000oIUHr
43,短期大学,東大阪大学短期大学部,,,,私立,大阪府,東大阪市,272272,577-8567,大阪府東大阪市西堤学園町３－１－１,06-6782-2824,06-6782-2896,jcl-K21003204-00,,ひがしおおさかだいがくたんきだいがくぶ,,,,,,,2021-09-17 05:24:52,2022-05-12 13:38:39,0015h00000oIUHs
44,短期大学,大阪夕陽丘学園短期大学,,,,私立,大阪府,大阪市天王寺区,271098,543-0073,大阪府大阪市天王寺区生玉寺町７－７２,06-6771-5183,06-6770-2951,jcl-K21002683-00,,おおさかゆうひがおかがくえんたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:38:39,0015h00000oIUHt
45,短期大学,大阪千代田短期大学,,,,私立,大阪府,河内長野市,272167,586-8511,大阪府河内長野市小山田町１６８５,0721-52-4141,0721-52-4747,jcl-K21002650-00,,おおさかちよだたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:38:39,0015h00000oIUHu
46,短期大学,大阪青山短期大学,,,,私立,大阪府,箕面市,272205,562-8580,大阪府箕面市新稲２－１１－１,072-722-4165,072-722-5190,jcl-K21002649-00,,おおさかあおやまたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:38:40,0015h00000oIUHv
47,短期大学,大阪成蹊短期大学,,,,私立,大阪府,大阪市東淀川区,271144,533-0007,大阪府大阪市東淀川区相川３－１０－６２,06-6829-2600,06-6829-2597,jcl-K21002638-00,,おおさかせいけいたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:38:40,0015h00000oIUHw
48,短期大学,大阪信愛女学院短期大学,城東キャンパス,,,私立,大阪府,大阪市城東区,271187,536-8585,大阪府大阪市城東区古市２－７－３０,06-6939-4391,06-6939-2108,jcl-K21002616-00,,おおさかしんあいじょがくいんたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:38:40,0015h00000oIUHx
49,短期大学,大阪城南女子短期大学,,,,私立,大阪府,大阪市東住吉区,271217,546-0013,大阪府大阪市東住吉区湯里６－４－２６,06-6702-9783,06-6704-0996,jcl-K21002605-00,,おおさかじょうなんじょしたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:38:40,0015h00000oIUHy
50,短期大学,大阪女学院短期大学,,,,私立,大阪府,大阪市中央区,271284,540-0004,大阪府大阪市中央区玉造２－２６－５４,06-6761-9371,06-6761-9373,jcl-K21002579-00,,おおさかじょがくいんたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:38:40,0015h00000oIUHz
51,短期大学,大阪国際大学短期大学部,,,,私立,大阪府,守口市,272094,570-8555,大阪府守口市藤田町６－２１－５７,06-6902-0791,06-6907-4330,jcl-K21002557-00,,おおさかこくさいだいがくたんきだいがくぶ,,,,,,,2021-09-17 05:24:52,2022-05-12 13:38:40,0015h00000oIUI0
52,短期大学,大阪健康福祉短期大学,堺東学舎,,,私立,大阪府,堺市堺区,271411,590-0075,堺市堺区南花田口町２－３－２０三共堺東ビル,072-226-6625,072-223-1301,jcl-K21002546-00,,おおさかけんこうふくしたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:38:40,0015h00000oIUI1
53,短期大学,大阪学院大学短期大学部,,,,私立,大阪府,吹田市,272051,564-8511,大阪府吹田市岸部南２－３６－１,06-6381-8434,06-6382-4363,jcl-K21002502-00,,おおさかがくいんだいがくたんきだいがくぶ,,,,,,,2021-09-17 05:24:52,2022-05-12 13:38:40,0015h00000oIUI2
54,短期大学,華頂短期大学,,,,私立,京都府,京都市東山区,261050,605-0062,京都府京都市東山区林下町３－４５６,075-551-1188,075-551-1625,jcl-K21000430-00,,かちょうたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:38:40,0015h00000oIUI3
55,短期大学,滋賀文教短期大学,,,,私立,滋賀県,長浜市,252034,526-0829,滋賀県長浜市田村町３３５,0749-63-5815,0749-65-1921,jcl-K21001442-00,,しがぶんきょうたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:38:40,0015h00000oIUI4
56,短期大学,びわこ学院大学短期大学部,,,,私立,滋賀県,東近江市,252131,527-8533,滋賀県東近江市布施町２９,0748-22-3388,0748-23-7202,jcl-K21001431-00,,びわこがくいんだいがくたんきだいがくぶ,,,,,,,2021-09-17 05:24:52,2022-05-12 13:38:40,0015h00000oIUI5
57,短期大学,愛知医療学院短期大学,,,,私立,愛知県,清須市,232335,452-0931,愛知県清須市一場５１９,052-409-3311,052-400-6413,jcl-K21000119-00,,あいちいりょうがくいんたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:38:40,0015h00000oIUI6
58,短期大学,愛知みずほ大学短期大学部,,,,私立,愛知県,名古屋市瑞穂区,231088,467-0867,愛知県名古屋市瑞穂区春敲町２－１３,052-882-1815,052-882-5700,jcl-K21000108-00,,あいちみずほだいがくたんきだいがくぶ,,,,,,,2021-09-17 05:24:52,2022-05-12 13:38:40,0015h00000oIUI7
59,短期大学,日本歯科専門職短期大学,,,,私立,静岡県,磐田市,222119,438-0078,静岡県磐田市中泉１－１－１,0538-39-1818,0538-39-0100,jcl-K21006012-00,,にほんしかせんもんしょくたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:38:40,0015h00000oIUI8
60,短期大学,常葉大学短期大学部,,,,私立,静岡県,静岡市葵区,221015,420-0911,静岡県静岡市葵区瀬名２－２－１,054-261-1313,054-263-4818,jcl-K21005125-00,,とこはだいがくたんきだいがくぶ,,,,,,,2021-09-17 05:24:52,2022-05-12 13:38:40,0015h00000oIUI9
61,短期大学,浜松学院大学短期大学部,,,,私立,静岡県,浜松市中区,221317,430-0906,静岡県浜松市中区住吉２－３－１,053-473-6100,053-473-6196,jcl-K21003536-00,,はままつがくいんだいがくたんきだいがくぶ,,,,,,,2021-09-17 05:24:52,2022-05-12 13:38:41,0015h00000oIUIA
62,短期大学,東海大学短期大学部,静岡校舎,,,私立,静岡県,静岡市葵区,221015,420-8511,静岡県静岡市葵区宮前町１０１,054-261-6321,054-261-6842,jcl-K21003053-00,,とうかいだいがくたんきだいがくぶ,,,,,,,2021-09-17 05:24:52,2022-05-12 13:38:41,0015h00000oIUIB
63,短期大学,静岡英和学院大学短期大学部,,,,私立,静岡県,静岡市駿河区,221023,422-8545,静岡県静岡市駿河区池田１７６９,054-261-9201,054-262-0091,jcl-K21002269-00,,しずおかえいわがくいんだいがくたんきだいがくぶ,,,,,,,2021-09-17 05:24:52,2022-05-12 13:39:00,0015h00000oIUIC
64,短期大学,平成医療短期大学,,,,私立,岐阜県,岐阜市,212016,501-1131,岐阜県岐阜市黒野１８０,058-234-3324,058-234-7333,jcl-K21004146-00,,へいせいいりょうたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:39:00,0015h00000oIUID
65,短期大学,東海学院大学短期大学部,,,,私立,岐阜県,各務原市,212130,504-8511,岐阜県各務原市那加桐野町５－６８,058-389-2200,058-389-2205,jcl-K21003020-00,,とうかいがくいんだいがくたんきだいがくぶ,,,,,,,2021-09-17 05:24:52,2022-05-12 13:39:00,0015h00000oIUIE
66,短期大学,中部学院大学短期大学部,関キャンパス,,,私立,岐阜県,関市,212059,501-3993,岐阜県関市桐ヶ丘２－１,0575-24-2211,0575-24-0077,jcl-K21002845-00,,ちゅうぶがくいんだいがくたんきだいがくぶ,,,,,,,2021-09-17 05:24:52,2022-05-12 13:39:01,0015h00000oIUIF
67,短期大学,中日本自動車短期大学,,,,私立,岐阜県,坂祝町,215015,505-0077,岐阜県加茂郡坂祝町深萱１３０１,0574-26-7121,0574-26-0840,jcl-K21002823-00,,なかにほんじどうしゃたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:39:01,0015h00000oIUIG
68,短期大学,中京学院大学中京短期大学部,瑞浪キャンパス,,,私立,岐阜県,瑞浪市,212083,509-6192,岐阜県瑞浪市土岐町２２１６,0572-68-4555,0572-68-4568,jcl-K21002786-00,,ちゅうきょうがくいんだいがくちゅうきょうたんきだいがくぶ,,,,,,,2021-09-17 05:24:52,2022-05-12 13:39:01,0015h00000oIUIH
69,短期大学,大垣女子短期大学,,,,私立,岐阜県,大垣市,212024,503-8554,岐阜県大垣市西之川町１－１０９,0584-81-6811,0584-81-6818,jcl-K21002454-00,,おおがきじょしたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:39:01,0015h00000oIUII
70,短期大学,正眼短期大学,,,,私立,岐阜県,美濃加茂市,212113,505-0008,岐阜県美濃加茂市伊深町８７６－１０,0574-29-1372,0574-29-1320,jcl-K21002052-00,,しょうげんたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:39:01,0015h00000oIUIJ
71,短期大学,高山自動車短期大学,,,,私立,岐阜県,高山市,212032,506-8577,岐阜県高山市下林町１１５５,0577-32-4440,0577-32-4081,jcl-K21001017-00,,たかやまじどうしゃたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:39:01,0015h00000oIUIK
72,短期大学,愛知学院大学短期大学部,,,,私立,愛知県,名古屋市千種区,231011,464-8650,愛知県名古屋市千種区楠元町１－１００,052-751-2561,052-761-3461,jcl-K21000120-00,,あいちがくいんだいがくたんきだいがくぶ,,,,,,,2021-09-17 05:24:52,2022-05-12 13:39:01,0015h00000oIUIL
73,短期大学,愛知学泉短期大学,,,,私立,愛知県,岡崎市,232025,444-8520,愛知県岡崎市舳越町上川成２８,0564-34-1212,0564-34-1270,jcl-K21000131-00,,あいちがくせんたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:39:01,0015h00000oIUIM
74,短期大学,愛知工科大学自動車短期大学,,,,私立,愛知県,蒲郡市,232149,443-0047,愛知県蒲郡市西迫町馬乗５０－２,0533-68-1135,0533-68-0352,jcl-K21000142-00,,あいちこうかだいがくじどうしゃたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:39:01,0015h00000oIUIN
75,短期大学,愛知産業大学短期大学,,,,私立,愛知県,岡崎市,232025,444-0005,愛知県岡崎市岡町原山１２－５,0564-48-8282,0564-48-8270,jcl-K21000164-00,,あいちさんぎょうだいがくたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:39:01,0015h00000oIUIO
76,短期大学,滋賀短期大学,,,,私立,滋賀県,大津市,252018,520-0803,滋賀県大津市竜が丘２４－４,077-524-3605,077-523-5124,jcl-K21001420-00,,しがたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:39:02,0015h00000oIUIP
77,短期大学,ユマニテク短期大学,,,,私立,三重県,四日市市,242021,510-0066,三重県四日市市南浜田町４－２１,059–356-8170,,jcl-K21005126-00,,ゆまにてくたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:39:02,0015h00000oIUIQ
78,短期大学,鈴鹿大学短期大学部,,,,私立,三重県,鈴鹿市,242071,510-0298,三重県鈴鹿市郡山町６６３－２２２,059-372-3900,059-379-4693,jcl-K21004043-00,,すずかだいがくたんきだいがくぶ,,,,,,,2021-09-17 05:24:52,2022-05-12 13:39:02,0015h00000oIUIR
79,短期大学,高田短期大学,,,,私立,三重県,津市,242012,514-0115,三重県津市一身田豊野１９５,059-232-2310,059-232-6317,jcl-K21001051-00,,たかだたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:39:02,0015h00000oIUIS
80,短期大学,名古屋柳城短期大学,,,,私立,愛知県,名古屋市昭和区,231070,466-0034,愛知県名古屋市昭和区明月町２－５４,052-841-2635,052-841-2697,jcl-K21003961-00,,なごやりゅうじょうたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:39:02,0015h00000oIUIT
81,短期大学,名古屋文理大学短期大学部,,,,私立,愛知県,名古屋市西区,231045,451-0077,愛知県名古屋市西区笹塚町２－１,052-521-2251,052-521-2259,jcl-K21003950-00,,なごやぶんりだいがくたんきだいがくぶ,,,,,,,2021-09-17 05:24:52,2022-05-12 13:39:02,0015h00000oIUIU
82,短期大学,名古屋文化短期大学,,,,私立,愛知県,名古屋市東区,231029,461-8610,愛知県名古屋市東区葵１－１７－８,052-931-7112,052-931-7102,jcl-K21003949-00,,なごやぶんかたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:39:02,0015h00000oIUIV
83,短期大学,産業技術短期大学,,,,私立,兵庫県,尼崎市,282022,661-0047,兵庫県尼崎市西昆陽１－２７－１,06-6431-7561,06-6431-5998,jcl-K21001372-00,,さんぎょうぎじゅつたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:39:02,0015h00000oIUIW
84,短期大学,名古屋短期大学,,,,私立,愛知県,豊明市,232297,470-1193,愛知県豊明市栄町武侍４８,0562-97-1306,0562-97-6959,jcl-K21003938-00,,なごやたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:39:02,0015h00000oIUIX
85,短期大学,名古屋経営短期大学,,,,私立,愛知県,尾張旭市,232262,488-8711,愛知県尾張旭市新居町山の田３２５５－５,0561-54-9611,0561-52-0515,jcl-K21003891-00,,なごやけいえいたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:39:02,0015h00000oIUIY
86,短期大学,豊橋創造大学短期大学部,,,,私立,愛知県,豊橋市,232017,440-8511,愛知県豊橋市牛川町松下２０－１,050-2017-2101,050-2017-2113,jcl-K21003787-00,,とよはしそうぞうだいがくたんきだいがくぶ,,,,,,,2021-09-17 05:24:52,2022-05-12 13:39:02,0015h00000oIUIZ
87,短期大学,至学館大学短期大学部,,,,私立,愛知県,大府市,232238,474-8651,愛知県大府市横根町名高山５５,0562-46-1291,0562-44-1313,jcl-K21002775-00,,しがくかんだいがくたんきだいがくぶ,,,,,,,2021-09-17 05:24:52,2022-05-12 13:39:34,0015h00000oIUIa
88,短期大学,岡崎女子短期大学,,,,私立,愛知県,岡崎市,232025,444-0015,愛知県岡崎市中町１－８－４,0564-22-1295,0564-28-8630,jcl-K21000371-00,,おかざきじょしたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:39:34,0015h00000oIUIb
89,短期大学,修文大学短期大学部,,,,私立,愛知県,一宮市,232033,491-0938,愛知県一宮市日光町６,0586-45-2101,0586-45-4410,jcl-K21000256-00,,しゅうぶんだいがくたんきだいがくぶ,,,,,,,2021-09-17 05:24:52,2022-05-12 13:39:34,0015h00000oIUIc
90,短期大学,愛知文教女子短期大学,,,,私立,愛知県,稲沢市,232203,492-8521,愛知県稲沢市稲葉２－９－１７,0587-32-5169,0587-34-2870,jcl-K21000197-00,,あいちぶんきょうじょしたんきだいがく,,,,,,,2021-09-17 05:24:52,2022-05-12 13:39:34,0015h00000oIUId
